"IATA","ICAO"
QLT,LIRL
NAP,LIRN
PSA,LIRP
FLR,LIRQ
GRS,LIRS
PEG,LIRZ
LJU,LJLJ
MBX,LJMB
POW,LJPZ
KLV,LKKV
OSR,LKMT
PED,LKPD
PRV,LKPO
PRG,LKPR
BRQ,LKTB
TLV,LLBG
BEV,LLBS
ETH,LLET
HFA,LLHA
RPN,LLIB
VDA,LLOV
SDV,LLSD
MLA,LMML
GRZ,LOWG
INN,LOWI
LNZ,LOWL
SZG,LOWS
VIE,LOWW
SMA,LPAZ
BGC,LPBG
FLW,LPFL
FAO,LPFR
GRW,LPGR
HOR,LPHR
TER,LPLA
PDL,LPPD
PIX,LPPI
OPO,LPPR
PXO,LPPS
LIS,LPPT
SJZ,LPSJ
VRL,LPVR
OMO,LQMO
SJJ,LQSA
ARW,LRAR
BCM,LRBC
BAY,LRBM
BBU,LRBS
CND,LRCK
CLJ,LRCL
CSB,LRCS
CRA,LRCV
IAS,LRIA
OMR,LROD
OTP,LROP
SBZ,LRSB
SUJ,LRSM
SCV,LRSV
TCE,LRTC
TGM,LRTM
TSR,LRTR
GVA,LSGG
SIR,LSGS
EML,LSME
LUG,LSZA
BRN,LSZB
ZRH,LSZH
ACH,LSZR
SMV,LSZS
ESB,LTAC
ANK,LTAD
ADA,LTAF
UAB,LTAG
AFY,LTAH
AYT,LTAI
GZT,LTAJ
KYA,LTAN
MLX,LTAO
MZH,LTAP
VAS,LTAR
ASR,LTAU
DNZ,LTAY
IST,LTBA
BZI,LTBF
BDM,LTBG
ESK,LTBI
ADB,LTBJ
IGL,LTBL
DLM,LTBS
BXN,LTBV
EZS,LTCA
DIY,LTCC
ERC,LTCD
ERZ,LTCE
TZX,LTCG
VAN,LTCI
BAL,LTCJ
BZY,LUBL
KIV,LUKK
OHD,LWOH
SKP,LWSK
GIB,LXGB
BEG,LYBE
INI,LYNI
TGD,LYPG
PRN,BKPR
TIV,LYTV
BTS,LZIB
KSC,LZKZ
PZY,LZPP
SLD,LZSL
TAT,LZTT
NCA,MBNC
PLS,MBPV
XSC,MBSC
EPS,MDAB
BRX,MDBH
LRM,MDLR
PUJ,MDPC
POP,MDPP
SDQ,MDSD
STI,MDST
CBV,MGCB
GUA,MGGT
LCE,MHLC
SAP,MHLM
GJA,MHNJ
RTB,MHRO
TEA,MHTE
TGU,MHTG
OCJ,MKBS
KIN,MKJP
MBJ,MKJS
POT,MKKJ
KTP,MKTP
ACA,MMAA
NTR,MMAN
AGU,MMAS
HUX,MMBT
CVJ,MMCB
CME,MMCE
CUL,MMCL
CTM,MMCM
CEN,MMCN
CPE,MMCP
CJS,MMCS
CUU,MMCU
CVM,MMCV
CZM,MMCZ
DGO,MMDO
TPQ,MMEP
ESE,MMES
GDL,MMGL
GYM,MMGM
TCN,MMHC
HMO,MMHO
CLQ,MMIA
ISJ,MMIM
SLW,MMIO
LZC,MMLC
LMM,MMLM
BJX,MMLO
LAP,MMLP
LTO,MMLT
MAM,MMMA
MID,MMMD
MXL,MMML
MLM,MMMM
MTT,MMMT
LOV,MMMV
MEX,MMMX
MTY,MMMY
MZT,MMMZ
NOG,MMNG
NLD,MMNL
OAX,MMOX
PAZ,MMPA
PBC,MMPB
PCA,MMPC
PPE,MMPE
PDS,MMPG
UPN,MMPN
PVR,MMPR
PXM,MMPS
QRO,MMQT
REX,MMRX
SJD,MMSD
SFH,MMSF
SLP,MMSP
TXA,MMTA
TRC,MMTC
TGZ,MMTG
TIJ,MMTJ
TAM,MMTM
TSL,MMTN
TLC,MMTO
TAP,MMTP
CUN,MMUN
VSA,MMVA
VER,MMVR
ZCL,MMZC
ZIH,MMZH
ZMM,MMZM
ZLO,MMZO
BEF,MNBL
MGA,MNMG
PUZ,MNPC
BOC,MPBO
CHX,MPCH
DAV,MPDA
BLB,MPHO
PAC,MPMG
PTY,MPTO
OTR,MRCC
GLF,MRGF
LIR,MRLB
LIO,MRLM
NOB,MRNS
SJO,MROC
PMZ,MRPM
XQP,MRQP
SAL,MSLP
CAP,MTCH
PAP,MTPP
BCA,MUBA
BYM,MUBY
AVI,MUCA
CCC,MUCC
CFG,MUCF
CYO,MUCL
CMW,MUCM
SCU,MUCU
GAO,MUGT
HAV,MUHA
HOG,MUHG
LCL,MULM
MOA,MUMO
MZO,MUMZ
GER,MUNG
UPB,MUPB
SNU,MUSC
VRA,MUVR
VTU,MUVT
CYB,MWCB
GCM,MWCR
ASD,MYAF
MHH,MYAM
SAQ,MYAN
AXP,MYAP
TCB,MYAT
CCZ,MYBC
BIM,MYBS
GGT,MYEF
ELH,MYEH
GHB,MYEM
RSD,MYER
FPO,MYGF
IGA,MYIG
LGI,MYLD
SML,MYLS
MYG,MYMM
NAS,MYNN
ZSA,MYSM
BZE,MZBZ
AIT,NCAI
RAR,NCRG
NAN,NFFN
SUV,NFNA
TBU,NFTF
VAV,NFTV
TRW,NGTA
TBF,NGTE
WLS,NLWW
APW,NSFA
PPG,NSTU
RUR,NTAR
TUB,NTAT
AAA,NTGA
TIH,NTGC
REA,NTGE
FAV,NTGF
XMH,NTGI
GMR,NTGJ
KKR,NTGK
MKP,NTGM
PKP,NTGP
TKP,NTGT
AXR,NTGU
MVT,NTGV
TKX,NTKR
NHV,NTMD
BOB,NTTB
RGI,NTTG
HUH,NTTH
MOZ,NTTM
HOI,NTTO
MAU,NTTP
RFP,NTTR
VLI,NVVV
KNQ,NWWD
KOC,NWWK
LIF,NWWL
GEA,NWWM
MEE,NWWR
TOU,NWWU
UVE,NWWV
NOU,NWWW
AKL,NZAA
TUO,NZAP
AMZ,NZAR
CHC,NZCH
CHT,NZCI
DUD,NZDN
GIS,NZGS
HKK,NZHK
HLZ,NZHN
KKE,NZKK
KAT,NZKT
ALR,NZLX
MON,NZMC
TEU,NZMO
MRO,NZMS
NPL,NZNP
NSN,NZNS
IVC,NZNV
OAM,NZOU
PMR,NZPM
PPQ,NZPP
ZQN,NZQN
ROT,NZRO
TRG,NZTG
TIU,NZTU
BHE,NZWB
WKA,NZWF
WHK,NZWK
WLG,NZWN
WRE,NZWR
WSZ,NZWS
WAG,NZWU
HEA,OAHR
JAA,OAJL
KBL,OAKB
KDH,OAKN
MMZ,OAMN
MZR,OAMS
UND,OAUZ
BAH,OBBI
AHB,OEAB
HOF,OEAH
ABT,OEBA
BHH,OEBH
DMM,OEDF
DHA,OEDR
GIZ,OEGN
