"IATA","ICAO"
WGE,YWLG
BRT,YBTI
DKI,YDKI
LZR,YLZI
HLT,YHML
HCQ,YHLC
FIZ,YFTZ
RVT,YNRV
PVU,KPVU
SBS,KSBS
DTA,KDTA
RIF,KRIF
PUC,KPUC
LAM,KLAM
HII,KHII
INW,KINW
DGL,KDGL
MZK,NGMK
AEA,NGTB
AAK,NGUK
KUC,NGKT
AIS,NGTR
TMN,NGTM
BEZ,NGBR
NIG,NGNU
BBG,NGTU
MTK,NGMN
MNK,NGMA
NON,NGTO
TSU,NGTS
WTZ,NZWT
KTF,NZTK
AFT,AGAF
RNA,AGAR
CHY,AGGC
NNB,AGGT
XYA,AGGY
BOW,KBOW
FTI,NSFQ
LVK,KLVK
RMY,KMPI
GFY,FYGF
NDU,FYRU
AGM,BGAM
TRM,KTRM
SMO,KSMO
UDD,KUDD
ZSY,KSDL
OLM,KOLM
DWA,KDWA
RIL,KRIL
SAA,KSAA
PDK,KPDK
BMG,KBMG
SUA,KSUA
MMU,KMMU
APC,KAPC
SDM,KSDM
VNC,KVNC
PHK,KPHK
ECP,KECP
SBD,KSBD
VAL,SNVB
CAU,SNRU
AWK,PWAK
QNV,SDNY
SQL,KSQL
OSZ,EPKO
RWI,KRWI
SXQ,PASX
SEE,KSEE
PHA,VVPR
SQH,VVNS
TKF,KTRK
FRJ,LFTU
GEX,YGLG
RYY,KRYY
4U9,K4U9
LVM,KLVM
6S0,K6S0
BIV,KBIV
HEN,EFHE
LAL,KLAL
SYH,VNSB
IDL,KIDL
RBK,KF70
FNU,LIER
MYQ,VOMY
PCW,KPCW
MGY,KMGY
RID,KRID
FDY,KFDY
PEA,YPSH
EBE,EBEN
EMP,KEMP
ESX,ESSE
BBP,EGHJ
SPF,KSPF
QYD,EPOK
OLV,KOLV
ONQ,LTAS
BJC,KBJC
SLE,KSLE
UTM,KUTA
ZKB,FLKY
LND,KLND
MWC,KMWC
JVL,KJVL
GKY,KGKY
LZU,KLZU
BWG,KBWG
RVS,KRVS
NHD,OMDM
KGO,UKKG
DBB,HEAL
BCE,KBCE
CKL,UUMU
TCZ,ZUTC
UKS,UKFB
JCI,KIXD
ESN,KESN
HMR,ENHA
MYV,KMYV
DUC,KDUC
UVA,KUVA
LOT,KLOT
CCR,KCCR
OCA,07FA
YUS,ZYLS
YOO,CYOO
LHA,EDTL
SGH,KSGH
MSI,SIAM
HEX,MDHE
CDA,YCOO
JAB,YJAB
HGS,GFHA
TOP,KTOP
NGQ,ZUAL
CSO,EDBC
TKI,KTKI
PWK,KPWK
KLS,KKLS
ZTA,NTGY
PUE,MPOA
KHC,UKFK
UKA,HKUK
ILN,KILN
AVW,KAVQ
CGZ,KCGZ
BXK,KBXK
E63,KE63
MMI,KMMI
STK,KSTK
RWL,KRWL
YZY,CYZY
CDW,KCDW
AIZ,KAIZ
TVI,KTVI
HSH,KHND
GML,UKKM
TMA,KTMA
QXR,EPRA
DVT,KDVT
YGE,CYGE
YRV,CYRV
HDO,KHDO
ZHY,ZLZW
MCL,PAIN
LHD,PALH
PPC,PAPR
KHW,FBKR
TXG,RCLG
HLG,KHLG
FZG,KFZG
XYE,VYYE
DWC,OMDW
RKP,KRKP
MVV,LFHM
MFX,LFKX
OKF,FYOO
OKU,FYMO
PSH,EDXO
CKF,KCKF
OMN,KOMN
TTD,KTTD
HIO,KHIO
KHT,OAKS
GAI,KGAI
AZ3,OASA
YTA,CYTA
TSB,FYTM
YSD,CYSD
BNU,SSBL
CVX,KCVX
YCC,CYCC
IZA,SDZY
XFL,KXFL
MVL,KMVL
RBD,KRBD
WST,KWST
BID,KBID
NME,PAGT
OOK,PAOO
OBY,BGSC
VIN,UKWW
BGE,KBGE
ZKG,CTK6
YBI,CCE4
SPZ,KSPZ
WHP,KWHP
MAE,KMAE
YZZ,CAD4
YAB,CJX7
BCV,PABV
MPY,SOOA
LDX,SOOM
KJI,ZWKN
CPB,SKCA
HMB,HEMK
RVY,SURV
POJ,SNPD
JTC,SJTC
OIA,SDOW
RDC,SNDC
SXX,SNFX
BYO,SJDB
SXO,SWFX
CFC,SBCD
CAF,SWCA
ERN,SWEI
CCI,SSCK
FBE,SSFB
CFO,SJHG
AAF,KAAF
UMU,SSUM
DTI,SNDT
FBA,SWOB
OLC,SDCG
HUW,SWHT
IRZ,SWTP
ORX,SNOX
UNA,SBTC
TEF,YTEF
GZP,LTGP
DQH,KDQH
FRP,KFPR
TAN,KTAN
PYM,KPYM
OQU,KOQU
OWD,KOWD
BAF,KBAF
IJD,KIJD
MGJ,KMGJ
CXY,KCXY
GHG,KGHG
DXR,KDXR
ASH,KASH
LWM,KLWM
OXC,KOXC
FIT,KFIT
VPC,KVPC
PYP,KPYP
RMG,KRMG
GAD,KGAD
DKX,KDKX
WDR,KWDR
JYL,KJYL
DNN,KDNN
CTJ,KCTJ
LGC,KLGC
MLJ,KMLJ
PIM,KPIM
FFC,KFFC
GVL,KGVL
PHD,KPHD
UDG,KUDG
HHH,KHXD
DNL,KDNL
MRN,KMRN
PBX,KPBX
TOC,KTOC
PLV,UKHP
WUU,HSWW
HUE,HAHU
OYL,HKMY
WYE,GFYE
GBK,GFGK
AFW,KAFW
57C,K57C
RMK,YREN
LGH,YLEC
RTS,YRTI
KEW,CPV8
YSP,CYSP
YHF,CYHF
YHN,CYHN
YKX,CYKX
YMG,CYMG
YXZ,CYXZ
YEM,CYEM
YFD,CYFD
LWC,KLWC
EGT,KEGT
PMP,KPMP
XMC,YMCO
EET,KEET
YUE,YYND
LOP,WADL
ZML,CZML
HDG,ZBHD
UMP,KUMP
LOZ,KLOZ
FBG,KFBG
WMI,EPMO
JXA,ZYJX
YGM,CYGM
EYK,USHY
RAC,KRAC
RZP,RPSD
REI,KREI
RIR,KRIR
TIW,KTIW
JKA,KJKA
HMJ,UKLH
HIW,RJBH
HZL,KHZL
CBE,KCBE
YBO,CBW4
KLF,UUBC
LNR,KLNR
JOT,KJOT
VYS,KVYS
JXN,KJXN
BBX,KLOM
OBE,KOBE
SEF,KSEF
AVO,KAVO
GIF,KGIF
ZPH,KZPH
OCF,KOCF
JES,KJES
52A,K52A
CCO,KCCO
HQU,KHQU
AIK,KAIK
CDN,KCDN
LBT,KLBT
SOP,KSOP
RCZ,KRCZ
DLL,KDLL
SVH,KSVH
BUU,KBUU
LHV,KLHV
LPR,KLPR
BKL,KBKL
DKK,KDKK
VAY,KVAY
LDJ,KLDJ
ANQ,KANQ
VNW,KVNW
GVQ,KGVQ
CLW,KCLW
CGX,KCGX
JZP,KJZP
CRE,KCRE
IGQ,KIGQ
RNM,KRNM
BXO,LSZC
OEB,KOEB
WBW,KWBW
LNN,KLNN
UMD,BGUM
RLK,ZBYZ
FFT,KFFT
LEW,KLEW
MRK,KMKY
DRM,KDRM
GDW,KGDW
LWA,KLWA
MFI,KMFI
ISW,KISW
CWI,KCWI
BVY,KBVY
YRQ,CYRQ
POF,KPOF
EPM,KEPM
EOK,KEOK
PSL,EGPT
STP,KSTP
SOO,ESNY
VNA,VLSV
DKS,UODD
BYT,EIBN
ADY,FAAL
GAS,HKGA
HOA,HKHO
KEY,HKKR
ILU,HKKL
ATJ,FMME
OVA,FMSL
RGK,UNBG
FLD,KFLD
PCZ,KPCZ
STE,KSTE
ERY,KERY
PEF,EDCP
GQQ,KGQQ
TPN,SETI
PTZ,SESM
CKV,KCKV
LPC,KLPC
CTH,KMQS
BST,OABT
LLK,UBBL
GBB,UBBQ
ZTU,UBBY
LKP,KLKP
DEE,YXCM
AOH,KAOH
DSO,ZKSD
SSI,KSSI
BFP,KBVI
GGE,KGGE
HDI,KHDI
RNT,KRNT
POC,KPOC
CTY,KCTY
CEU,KCEU
BEC,KBEC
PDG,WIMG
GTU,KGTU
QFO,EGSU
SNY,KSNY
GKL,YGKL
RPB,YRRB
IFL,YIFL
BIN,OABN
MOO,YOOM
ECA,K6D9
JYO,KJYO
VAM,VRMV
LLF,ZGLG
LSZ,LDLO
ONS,YOLW
TDR,YTDR
SDC,KSDC
WBU,KBDU
BBJ,EDRB
PAO,KPAO
FFZ,KFFZ
P08,KP08
P52,KP52
A39,KA39
E25,KE25
YTY,ZSYA
PTK,KPTK
KSI,GUKU
EEN,KEEN
GKK,VRMO
RCS,EGTO
RHD,SANR
KMP,FYKT
IOW,KIOW
TLQ,ZWTP
MWM,KMWM
ANP,KANP
FXO,FQCB
ODO,UIKB
ZTR,UKKV
HRI,VCRI
PEQ,KPEQ
HBG,KHBG
QCJ,SDBK
QSC,SDSC
YKN,KYKN
XSB,OMBY
ZBM,CZBM
KTI,VDKT
GYU,ZLGY
CNI,ZYCH
KRH,EGKR
CCL,YCCA
HWD,KHWD
MZP,NZMK
JHQ,YSHR
ARB,KARB
SHT,YSHT
TEM,YTEM
GAH,YGAY
WIO,YWCA
BFJ,ZUBJ
ULK,UERL
GNY,LTCS
KZR,LTBZ
VLU,ULOL
BEO,YPEC
4A7,K4A7
BMP,YBPI
YCN,CYCN
BJP,SBBP
BQB,YBLN
SEK,UESK
IVR,YIVL
GLI,YGLI
IMM,KIMM
YIC,ZSYC
PTB,KPTB
KGN,FZOK
SBM,KSBM
KFE,YFDF
BJU,VNBR
MZJ,KMZJ
GEU,KGEU
SAD,KSAD
KJP,ROKR
SIK,KSIK
TTI,NTTE
GFL,KGFL
5B2,K5B2
CGC,KCGC
MTN,KMTN
LHM,KLHM
FZI,KFZI
IZG,KIZG
NEW,KNEW
COE,KCOE
BMT,KBMT
DNV,KDNV
COJ,YCBB
TIX,KTIX
NYE,HKNI
AAP,KAAP
FCM,KFCM
LIX,FWLK
OJC,KOJC
GIU,VCCS
EUM,EDHN
TKT,VTPT
YLK,CYLS
YEE,CYEE
NU8,CNU8
ND4,CND4
NF4,CNF4
YCM,CYSN
YPD,CNK4
OQN,KOQN
MNZ,KHEF
KFS,LTAL
2H0,K2H0
GXH,ZLXH
CIY,LICB
KVM,UHMO
ZKP,UESU
UMS,UEMU
ADH,UEEA
NLT,ZWNL
BOR,LFSQ
FDW,KFDW
OBC,HDOB
TDJ,HDTJ
AQB,MGQC
NOR,BINF
BTZ,LTBE
DAW,KDAW
WAR,WAJR
EWK,KEWK
BSJ,YBNS
TZR,LHTA
FBR,KFBR
S40,KS40
CLS,KCLS
M94,KM94
EVW,KEVW
K83,KK83
LRO,KLRO
EUF,KEUF
6J4,K6J4
MEO,KMQI
AUO,KAUO
CZG,KCZG
EKY,KEKY
A50,KA50
MIC,KMIC
23M,K23M
DBN,KDBN
PUK,NTGQ
CVO,KCVO
PXH,YPMH
CWT,YCWR
OGD,KOGD
W63,KW63
RKR,KRKR
AKO,KAKO
SHN,KSHN
WNA,PANA
PKA,PAPK
YBW,CAB3
2A5,K2A5
WKR,MYAW
GFO,SYBT
DYL,KDYL
TGI,SPGM
TJL,SSTL
OAL,SSKW
OCW,KOCW
7W6,K7W6
MHC,SCPQ
YEL,CYEL
UKF,KUKF
JZI,KJZI
DAN,KDAN
0V4,K0V4
ERG,UIKE
CQW,KCQW
BEM,GMMD
NKT,LTCV
SUY,UENS
OUZ,GQPZ
QUO,DNAI
KAA,FLKS
MBI,HTMB
SGX,HTSO
AOG,ZYAS
ZYI,ZUZY
HYW,KHYW
LDS,ZYLD
AVA,ZUAS
KSS,GASK
WTB,YBWW
TNH,ZYTN
SZV,ZSSZ
LII,WAJM
NTI,WASB
WSR,WASW
DTB,WIMN
SSV,WITG
MEQ,WITC
BUW,WAWB
KAZ,WAMK
MNA,WAMN
SGQ,WRLA
OKL,WAJO
KOX,WABN
CMQ,YCMT
WMB,YWBL
RCM,YRMD
DCN,YCIN
KNO,WIMM
HBI,KHBI
EMV,KEMV
EMT,KEMT
FAH,OAFR
IXT,VEPG
I16,KI16
KRQ,UKCK
SSF,KSSF
JSV,KJSV
JAS,KJAS
87K,K87K
MRF,KMRF
E38,KE38
BQE,GGBU
CZA,MMCT
BUY,YBUN
CCB,KCCB
IOB,KIOB
EKI,KEKM
C03,KC03
CUB,KCUB
GMJ,KGMJ
MPR,KMPR
GYH,KGYH
PXE,KPXE
HVS,KHVS
IGX,KIGX
SZT,MMSC
DU9,CDU9
SUT,KSUT
FCI,KFCI
HNZ,KHNZ
LEE,KLEE
PPY,SNZA
DIQ,SNDV
ERD,UKDB
ERL,ZBER
CNO,KCNO
HTR,RORH
UYF,KUYF
BWW,MUBR
PRB,KPRB
HAF,KHAF
HCJ,ZGHC
WJF,KWJF
CJF,YCWA
GUZ,SNGA
UBT,SDUB
BOX,YBRL
FYJ,ZYFY
TDF,KTDF
PZL,FADQ
KJH,ZUKJ
HPG,ZHSN
YIE,ZBES
HNY,ZGHY
WOS,ZKWS
IGT,URMS
ASN,KASN
GMU,KGMU
MKT,KMKT
NGD,TUPA
TOI,KTOI
SCD,KSCD
EDN,KEDN
ALX,KALX
PKT,YPKT
GPN,YGPT
HZP,CYNR
UWL,KUWL
TQK,KTQK
HDE,KHDE
PTT,KPTT
AHQ,KAHQ
LXN,KLXN
19S,K19S
CBF,KCBF
OKK,KOKK
2K7,K2K7
EHA,KEHA
FTG,KFTG
GBG,KGBG
GUY,KGUY
MEJ,KMEJ
ULS,KULS
IDP,KIDP
3AU,K3AU
LQR,KLQR
LZZ,KLZZ
BYY,KBYY
PRX,KPRX
CFV,KCFV
GXY,KGXY
OEL,UUOR
FET,KFET
LGD,KLGD
SZY,EPSY
MPO,KMPO
UKT,KUKT
YBA,CYBA
BNG,KBNG
OFK,KOFK
AWO,KAWO
TFL,SNTO
TPF,KTPF
BZC,SBBZ
ITP,SDUN
KBN,FZWT
IKL,FZGV
AIR,SWRP
JRN,SWJU
JIA,SWJN
VLP,SWVC
JUA,SIZX
CCX,SWKC
BMB,FZFU
QBX,SNOB
APQ,SNAL
FLB,SNQG
PCS,SNPC
BNC,FZNP
BNB,FZGN
MTP,KMTP
VPZ,KVPZ
DRV,VRMD
SXK,WAPI
MLZ,SUMO
PDU,SUPU
ATI,SUAG
HSM,YHSM
SWH,YSWH
TTL,NFUL
KWB,WARU
KOO,FZRQ
AOU,VLAP
,SVFM
SQX,SSOE
LDM,KLDM
RHV,KRHV
OHS,OOSH
RZS,OPSW
TMF,VRNT
IFU,VREI
KIE,AYKT
YKO,LTCW
BUT,VQBT
TLI,WAMI
TQL,USDS
BPL,ZWAX
ACS,UNKS
WVI,KWVI
GLU,VQGP
JGG,KJGG
DLK,YDLK
KM8,CKM8
XTO,YTAM
YSE,CYSE
MRT,KMRT
YAH,CYAH
YAL,CYAL
,CYAU
YBU,CYBU
YCE,CYCE
YCP,CYCP
YCQ,CYCQ
XRR,CYDM
YDO,CYDO
YEY,CYEY
YGD,CYGD
YHE,CYHE
YHT,CYHT
YDG,CYID
YJF,CYJF
YKJ,CYKJ
YLR,CYLR
YME,CYME
YML,CYML
YOS,CYOS
YPS,CYPD
YQS,CYQS
YRO,CYRO
YRP,CYRP
YSH,CYSH
YSL,CYSL
YVD,CYVD
YVE,CYVK
YXQ,CYXQ
YSN,CZAM
KES,CZEE
XPK,CZFG
ZGF,CZGF
ZJG,CZJG
YTD,CZLQ
PIW,CZMN
XPP,CZNG
WPC,CZPC
ZST,CZST
ZUC,CZUC
FNB,EDBN
FSS,EGQK
BXP,EPBP
DGP,EVDA
LMR,FALC
SXN,FBSN
NDD,FNSU
MAI,FWMG
ADI,FYAR
MWE,HSMN
ALN,KALN
AXN,KAXN
CLU,KBAK
BBD,KBBD
BIH,KBIH
BKE,KBKE
BPI,KBPI
WMH,KBPK
BTL,KBTL
BYI,KBYI
CCY,KCCY
CNU,KCNU
CRG,KCRG
CSV,KCSV
DAA,KDAA
DAG,KDAG
DMN,KDMN
DRA,KDRA
EED,KEED
EGI,KEGI
EKA,KEKA
HYI,KHYI
HYR,KHYR
JCT,KJCT
LLQ,KLLQ
LOL,KLOL
MBG,KMBG
MCB,KMCB
MDH,KMDH
MMT,KMMT
NHZ,KNHZ
NRB,KNRB
OGB,KOGB
OLU,KOLU
OTM,KOTM
OZR,KOZR
PWY,KPNA
POU,KPOU
RNH,KRNH
RSL,KRSL
RWF,KRWF
SNS,KSNS
SOA,KSOA
SUZ,KSUZ
TPH,KTPH
UAO,KUAO
UKI,KUKI
UOX,KUOX
HTV,KUTS
VTN,KVTN
WMC,KWMC
WWR,KWWR
XMR,KXMR
ZZV,KZZV
ECV,LECU
CDT,LEDS
TEV,LETL
TN0,LIDT
QLP,LIQW
BJY,LYBT
RUV,MGRB
XPL,MHSC
UPL,MRUP
QSN,MUNB
SNJ,MUSJ
KMX,OEKM
XXN,OERY
KNR,OIBJ
PYK,OIIP
XIJ,OKAJ
MPD,OPMK
ATG,OPMS
SGI,OPSR
RQW,ORQW
ENN,PANN
WWA,PAWS
QUT,RJTU
IEJ,RORE
AAV,RPMA
BPH,RPMF
MXI,RPMQ
VMR,SAOV
BAT,SBBT
QHP,SBTA
TOQ,SCBE
LGR,SCHR
CNR,SCRA
TLX,SCTL
ZIC,SCTO
TTC,SCTT
API,SKAP
CVE,SKCV
PAL,SKPQ
PZA,SKPZ
TQS,SKTQ
MQZ,SKUA
RIJ,SPJA
JAE,SPJE
IKU,UAFL
VYI,UENW
GVN,UHKM
NLI,UHNN
VLK,URRY
INA,UUYI
ZIX,UWKV
RTC,VARG
HIM,VCCH
RDP,VEDG
PUT,VOPN
ABH,YAPH
ARY,YARA
BLN,YBLA
BZD,YBRN
BWQ,YBRW
CVC,YCEE
CWW,YCOR
CYG,YCRG
CMD,YCTM
DRN,YDBI
DNQ,YDLQ
DYA,YDYS
ECH,YECH
FRB,YFBS
GUH,YGDH
HXX,YHAY
HTU,YHPN
KRA,YKER
KPS,YKMP
KGY,YKRY
TGN,YLTV
MRG,YMBA
RPM,YNGU
QRM,YNRM
PPI,YPIR
SIO,YSMI
SNB,YSNB
SWC,YSWL
TYB,YTIB
TUM,YTMU
WGT,YWGT
WKB,YWKB
QRR,YWRN
SXE,YWSL
WWY,YWWL
NGA,YYNG
LHK,ZHGH
WDS,ZHSY
HTT,ZLHX
UUN,ZMBU
BFU,ZSBB
RUG,ZSRG
WHU,ZSWU
SXJ,ZWSS
YKH,ZYYK
